Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius],
240,01/18/21 08:16, 21, 01, 18, 08, 16,0,5.6, 0, 100,28.1, 7, 134,0.0000000,2.8344680, 255,12,01,N/A,Sniff,0.0,6.2,0.00,0.77,29.6,
241,01/18/21 08:22, 21, 01, 18, 08, 22,0,5.5, 223, 100,29.0, 6, 134,0.0000000,2.8471780, 255,12,02,N/A,Sniff,0.0,6.3,0.00,0.81,28.5,
242,01/18/21 08:28, 21, 01, 18, 08, 28,2,5.5, 103, 100,29.6, 6, 134,0.7117945,3.4368470, 255,12,03,0.00,Sniff,1.6,7.6,0.3,1.3,28.5,
243,01/18/21 08:34, 21, 01, 18, 08, 34,2,5.5, 309, 100,30.2, 6, 134,0.7117945,3.4368470, 255,12,04,0.00,Sniff,1.6,7.6,0.3,1.3,29.0,
244,01/18/21 08:40, 21, 01, 18, 08, 40,2,5.5, 378, 100,31.1, 6, 134,0.7117945,3.4368470, 255,12,05,1.00,Sniff,1.6,7.6,0.3,1.3,29.5,
245,01/18/21 08:46, 21, 01, 18, 08, 46,1,5.5, 258, 100,31.7, 6, 134,0.0000000,2.8471780, 255,12,06,N/A,Sniff,0.0,6.3,0.0,1.1,29.5,
246,01/18/21 08:52, 21, 01, 18, 08, 52,0,5.5, 516, 100,32.3, 6, 134,0.0000000,2.8471780, 255,12,07,N/A,Sniff,0.0,6.3,0.0,1.1,29.5,
247,01/18/21 08:58, 21, 01, 18, 08, 58,2,5.5, 688, 100,32.9, 6, 134,0.7117945,3.4368470, 255,12,08,0.00,Sniff,1.6,7.6,0.3,1.3,29.9,
248,01/18/21 09:04, 21, 01, 18, 09, 04,2,5.5, 1221, 100,33.5, 6, 134,0.7117945,3.4368470, 255,12,09,1.00,Sniff,1.6,7.6,0.3,1.3,29.8,
249,01/18/21 09:10, 21, 01, 18, 09, 10,3,5.5, 1582, 100,34.5, 6, 134,0.0000000,2.8729440, 255,12,10,N/A,Sniff,0.0,6.3,0.0,1.0,29.7,
250,01/18/21 09:16, 21, 01, 18, 09, 16,0,5.5, 1513, 100,35.1, 6, 134,0.0000000,2.8729440, 255,12,11,N/A,Sniff,0.0,6.3,0.0,1.0,29.9,
251,01/18/21 09:22, 21, 01, 18, 09, 22,3,5.5, 2150, 100,36.0, 6, 134,2.1547080,4.3094160, 255,12,12,0.00,Sniff,4.8,9.6,0.8,1.6,30.0,
252,01/18/21 09:28, 21, 01, 18, 09, 28,3,5.5, 2218, 47,36.6, 6, 134,1.4300020,3.9068360, 255,12,13,0.499,Sniff,3.2,8.7,0.5,1.4,30.2,
253,01/18/21 09:34, 21, 01, 18, 09, 34,12,5.5, 2218, 35,37.2, 6, 134,7.8650070,6.3836720, 255,12,14,0.00,Sniff,17,14,2.9,2.3,30.1,
254,01/18/21 09:40, 21, 01, 18, 09, 40,8,5.5, 2218, 33,37.5, 6, 134,5.7200070,5.7200070, 255,12,15,0.00,Sniff,13,13,2.1,2.1,30.4,
255,01/18/21 09:46, 21, 01, 18, 09, 46,5,5.5, 2218, 26,37.8, 6, 134,0.7150008,3.4523290, 255,12,16,4.00,Sniff,1.6,7.7,0.3,1.3,30.4,
256,01/18/21 09:52, 21, 01, 18, 09, 52,6,5.5, 2201, 26,38.1, 6, 134,1.4300020,3.9068360, 255,12,17,1.50,Sniff,3.2,8.7,0.5,1.4,30.5,
257,01/18/21 09:58, 21, 01, 18, 09, 58,7,5.6, 2218, 21,37.8, 6, 134,3.5430850,4.8887330, 255,12,18,0.200,Sniff,8,11,1.3,1.8,30.5,
258,01/18/21 10:04, 21, 01, 18, 10, 04,15,5.5, 2201, 19,37.5, 6, 134,7.8650070,6.3836720, 255,12,19,0.0914,Sniff,17,14,2.8,2.3,30.5,
259,01/18/21 10:10, 21, 01, 18, 10, 10,11,5.5, 2201, 19,37.5, 6, 134,6.4061500,5.9253730, 255,12,20,0.222,Sniff,14,13,2.3,2.1,30.4,
260,01/18/21 10:16, 21, 01, 18, 10, 16,8,5.5, 2201, 24,37.2, 5, 134,3.5750040,4.9327760, 255,12,21,0.400,Sniff,8,11,1.3,1.8,30.5,
261,01/18/21 10:22, 21, 01, 18, 10, 22,5,5.5, 2201, 49,36.9, 6, 134,2.8600030,4.6275820, 255,12,22,0.250,Sniff,10,10,1.0,1.7,30.4,
262,01/18/21 10:28, 21, 01, 18, 10, 28,3,5.5, 2218, 29,36.9, 6, 134,0.0000000,2.8600030, 255,12,23,N/A,Sniff,0.0,6.3,0.0,1.0,30.2,
263,01/18/21 10:34, 21, 01, 18, 10, 34,9,5.5, 2081, 100,36.3, 5, 134,0.0000000,2.8600030, 255,12,24,N/A,Sniff,0.0,6.3,0.0,1.0,30.2,
264,01/18/21 10:40, 21, 01, 18, 10, 40,7,5.5, 1324, 100,36.0, 5, 134,1.4364720,3.9245140, 255,12,25,2.50,Sniff,3.2,8.7,0.5,1.4,30.0,
265,01/18/21 10:46, 21, 01, 18, 10, 46,5,5.5, 2046, 100,35.7, 6, 134,1.4364720,3.9245140, 255,12,26,1.50,Sniff,3.2,8.7,0.5,1.4,30.3,
266,01/18/21 10:52, 21, 01, 18, 10, 52,8,5.5, 1410, 100,35.4, 5, 134,0.0000000,2.8729440, 255,12,27,N/A,Sniff,0.0,6.3,0.0,1.0,30.0,
267,01/18/21 10:58, 21, 01, 18, 10, 58,6,5.5, 2218, 60,35.1, 5, 134,1.4300020,3.9068360, 255,12,28,2.00,Sniff,3.2,8.7,0.5,1.4,30.5,
268,01/18/21 11:04, 21, 01, 18, 11, 04,10,5.5, 2201, 44,34.8, 5, 134,0.7150008,3.4523290, 255,12,29,8.00,Sniff,1.6,7.7,0.3,1.3,31.0,
269,01/18/21 11:10, 21, 01, 18, 11, 10,3,5.5, 2201, 40,34.8, 5, 134,0.7150008,3.4523290, 255,12,30,2.00,Sniff,1.6,7.7,0.3,1.2,31.0,
270,01/18/21 11:16, 21, 01, 18, 11, 16,4,5.5, 2218, 37,34.8, 5, 134,0.0000000,2.8600030, 255,12,31,N/A,Sniff,0.0,6.3,0.0,1.0,30.7,
271,01/18/21 11:22, 21, 01, 18, 11, 22,4,5.5, 2218, 35,35.1, 5, 134,0.7150008,3.4523290, 255,12,32,3.00,Sniff,1.6,7.7,0.3,1.2,31.0,
272,01/18/21 11:28, 21, 01, 18, 11, 28,4,5.5, 2218, 37,35.1, 6, 134,1.4300020,3.9068360, 255,12,33,0.500,Sniff,3.2,8.7,0.5,1.4,30.9,
273,01/18/21 11:33, 21, 01, 18, 11, 33,4,4.6, 2218, 42,35.4, 6, 134,1.7067760,4.6629990, 255,12,34,1.00,Sniff,0,10,0.6,1.7,32.3,
